"","year_1","year_2","year_3","year_4","year_5","year_6","year_7","year_8","year_9","year_10","year_11","year_12","year_13","year_14","year_15"
"VCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAU",6.136,11.683,5.491,4.127,-8.737,16.967,-8.39,9.099,-19.79,-4.66,-16.733,-7.563,-11.534,10.505,-7.619
"SEN",1.613,1.279,-0.7,2.563,1.771,-1.134,0.497,2.324,-3.933,-1.301,5.902,-1.274,-5.036,-1.188,2.748
"SRB",14.818,-14.039,-15.452,-5.636,10.692,-11.785,4.426,8.599,2.192,1.218,8.616,3.327,-7.96,19.601,-2.879
"SYC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SGP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVK",-5.828,-24.225,-19.035,-12.449,-9.261,-7.86,-8.249,-5.577,-6.824,-4.714,-4.169,2.361,-2.323,2.163,-2.282
"SVN",-10.384,-34.091,-32.27,-25.499,-21.233,-16.736,-19.19,-11.742,-6.978,-2.582,-13.208,-6.866,-7.662,-0.51,-10.319
"SLB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZAF",-15.454,-10.593,-17.617,4.457,-9.821,-3.336,-10.904,-1.291,-13.82,3.052,-9.241,-3.776,3.816,-0.828,-14.367
"ESP",11.062,-2.269,-7.078,-2.958,-2.066,-0.44,-5.564,5.218,-1.33,-0.248,3.482,-2.265,-8.634,3.227,-1.287
"LKA",-6.093,2.616,-0.829,1.477,1.686,-4.263,0.018,-5.027,3.649,-2.867,-3.577,-6.637,-3.563,0.102,0.932
"SDN",-2.446,-0.91,-0.023,-3.127,-2.917,-0.499,0.338,-1.341,-2.095,-1.555,-2.413,-3.096,-1.524,-0.836,-2.6
"SUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWZ",-4,-5.097,-3.043,1.853,-1.185,5.619,-2.509,2.986,-2.522,7.486,-4.75,1.231,7.796,2.546,-7.438
"SWE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHE",-20.839,-43.391,-40.766,-34.831,-31.341,-24.049,-35.705,-14.701,-7.745,-6.534,-15.136,-10.016,-3.761,-13.021,-11.141
"SYR",23.072,14.052,16.774,10.699,5.002,7.181,4.622,7.992,-3.317,2.763,2.82,0.62,-0.822,0.987,3.797
"NULL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THA",1.289,-0.901,-1.271,-4.799,-0.657,-2.734,-0.804,0.196,1.86,-2.709,0.651,1.8,-4.729,-4.563,-0.197
"MKD",32.315,-26.248,-25.156,-11.938,-8.267,-15.156,-0.306,13.271,-1.443,6.332,6.009,-10.519,-11.356,12.082,-3.837
"TGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUR",33.728,1.498,0.845,-7.733,2.241,3.003,-5.284,1.241,-3.263,7.664,3.003,0.491,-0.021,7.488,8.785
"TUV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UGA",-14.141,-9.051,-17.003,-13.584,-5.772,-6.102,-12.946,-3.077,-10.478,-6.382,-9.471,-7.195,-7.587,-6.801,-13.318
"UKR",-20.431,-35.677,-35.533,-34.231,-24.501,-16.181,-28.023,-20.092,-16.828,-1.113,-12.679,-7.98,-0.701,-12.366,6.036
"ARE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TZA",-5.267,-5.847,-6.841,-4.202,-4.324,-5.41,-6.091,-3.765,-6.145,-6.412,-6.401,-3.945,-4.411,-2.28,-5.337
"USA",-21.661,-15.763,-16.932,-18.586,-12.561,-11.454,-8.708,-8.219,-4.366,-6.214,-7.638,-2.04,0.166,-6.897,-8.235
"URY",-4.091,-0.942,-3.809,0.379,0.818,-3.701,3.099,-1.942,-0.068,-1.848,-2.476,1.387,4.191,0.104,-0.207
"UZB",3.166,2.967,2.66,3.945,1.144,0.176,0.491,-0.296,2.058,1.771,-0.047,-4.152,0.375,0.839,-0.293
"VUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VEN",-0.013,-1.267,0.515,0.522,-3.303,0.805,0.637,-0.679,-0.595,2.087,-1.302,-1.595,0.368,4.09,1.099
"VNM",-7.336,-5.551,-4.717,-3.157,-5.867,-5.921,-3.426,-4.523,-4.92,-4.617,-4.196,-4.874,-3.194,-3.047,-3.412
"YEM",1.051,0.663,4.665,-0.675,3.669,1.214,2.817,1.073,1.763,1.679,-1.499,2.091,2.118,6.774,-1.237
"ZMB",-6.863,-8.352,-8.558,-6.128,-5.791,-3.817,-3.838,-7.026,-6.881,-3.301,-5.129,-3.215,-3.413,-1.367,-3.263
"ZWE",-7.902,-13.041,-6.609,-5.033,5.185,6.788,3.016,-4.797,-4.19,-0.305,-9.329,2.041,-3.109,-2.509,-7.671
